Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Payload,Launch outcome,Version Booster,Booster landing,Date,Time,Launch Site
1,,4 June 2010,,F9 v1.1,CCAFS,Dragon Spacecraft Qualification Unit,,,18:45,0,LEO,,"Success
",Failure,CCSFS
2,,8 December 2010,,F9 v1.1,CCAFS,Dragon,,,15:43,0,LEO,,Success,Failure,
3,,22 May 2012,,F9 v1.1,CCAFS,Dragon,,,07:44,525 kg,LEO,,Success,"No attempt
",
4,,8 October 2012,,F9 v1.1,CCAFS,SpaceX CRS-1,,,00:35,"4,700 kg",LEO,,"Success
",No attempt,
5,,1 March 2013,,F9 v1.1,CCAFS,SpaceX CRS-2,,,15:10,"4,877 kg",LEO,,"Success
","No attempt
",
6,,29 September 2013,,,VAFB,CASSIOPE,,,16:00,500 kg,Polar orbit,,Success,Uncontrolled,
7,,3 December 2013,,,CCAFS,SES-8,,,22:41,"3,170 kg",GTO,,Success,No attempt,
8,,6 January 2014,,,CCAFS,Thaicom 6,,,22:06,"3,325 kg",GTO,,Success,No attempt,
9,,18 April 2014,,,Cape Canaveral,SpaceX CRS-3,,,19:25,"2,296 kg",LEO,,"Success
",Controlled,
10,,14 July 2014,,,Cape Canaveral,Orbcomm-OG2,,,15:15,"1,316 kg",LEO,,Success,Controlled,
11,,5 August 2014,,,Cape Canaveral,AsiaSat 8,,,08:00,"4,535 kg",GTO,,Success,No attempt,
12,,7 September 2014,,,Cape Canaveral,AsiaSat 6,,,05:00,"4,428 kg",GTO,,Success,"No attempt
",
13,,21 September 2014,,,Cape Canaveral,SpaceX CRS-4,,,05:52,"2,216 kg",LEO,,Success,Uncontrolled,
14,,10 January 2015,,,Cape Canaveral,SpaceX CRS-5,,,09:47,"2,395 kg",LEO,,Success,Failure ,
15,,11 February 2015,,,Cape Canaveral,DSCOVR,,,23:03,570 kg,HEO,,"Success
",Controlled,
16,,2 March 2015,,,Cape Canaveral,ABS-3A,,,03:50,"4,159 kg",GTO,,"Success
",No attempt,
17,,14 April 2015,,,Cape Canaveral,SpaceX CRS-6,,,20:10,"1,898 kg",LEO,,"Success
",Failure,
18,,27 April 2015,,,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,,,23:03,"4,707 kg",GTO,,"Success
",No attempt,
19,,28 June 2015,,,Cape Canaveral,SpaceX CRS-7,,,14:21,"1,952 kg",LEO,,Failure,Precluded,
20,,22 December 2015,,,Cape Canaveral,Orbcomm-OG2,,,01:29,"2,034 kg",LEO,,"Success
",Success,
21,,17 January 2016,,,VAFB,Jason-3,,,18:42,553 kg,LEO,,"Success
",Failure,
22,,4 March 2016,,,Cape Canaveral,SES-9,,,23:35,"5,271 kg",GTO,,"Success
",Failure,
23,,8 April 2016,,,Cape Canaveral,SpaceX CRS-8,,,20:43,"3,136 kg",LEO,,Success,Success,
24,,6 May 2016,,,Cape Canaveral,JCSAT-14,,,05:21,"4,696 kg",GTO,,"Success
",Success,
25,,27 May 2016,,,Cape Canaveral,Thaicom 8,,,21:39,"3,100 kg",GTO,,"Success
",Success,
26,,15 June 2016,,,Cape Canaveral,ABS-2A,,,14:29,"3,600 kg",GTO,,"Success
",Failure,
27,,18 July 2016,,,Cape Canaveral,SpaceX CRS-9,,,04:45,"2,257 kg",LEO,,"Success
",Success,
28,,14 August 2016,,,Cape Canaveral,JCSAT-16,,,05:26,"4,600 kg",GTO,,"Success
",Success,
29,,14 January 2017,,,VAFB,Iridium NEXT,,,17:54,"9,600 kg",Polar,,"Success
",Success,
30,,19 February 2017,,,KSC,SpaceX CRS-10,,,14:39,"2,490 kg",LEO,,"Success
",Success,
31,,16 March 2017,,,KSC,EchoStar 23,,,06:00,"5,600 kg",GTO,,"Success
",No attempt,
32,,30 March 2017,,,KSC,SES-10,,,22:27,"5,300 kg",GTO,,Success,Success,
33,,1 May 2017,,,KSC,NROL-76,,,11:15,C,LEO,,"Success
",Success,
34,,15 May 2017,,,KSC,Inmarsat-5 F4,,,23:21,"6,070 kg",GTO,,"Success
",No attempt,
35,,3 June 2017,,,KSC,SpaceX CRS-11,,,21:07,"2,708 kg",LEO,,"Success
",Success,
36,,23 June 2017,,,KSC,BulgariaSat-1,,,19:10,"3,669 kg",GTO,,"Success
",Success,
37,,25 June 2017,,,VAFB,Iridium NEXT,,,20:25,"9,600 kg",LEO,,"Success
",Success,
38,,5 July 2017,,,KSC,Intelsat 35e,,,23:38,"6,761 kg",GTO,,"Success
",No attempt,
39,,14 August 2017,,,KSC,SpaceX CRS-12,,,16:31,"3,310 kg",LEO,,"Success
",Success,
40,,24 August 2017,,,VAFB,Formosat-5,,,18:51,475 kg,SSO,,"Success
",Success,
41,,7 September 2017,,,KSC,Boeing X-37B,,,14:00,"4,990 kg",LEO,,"Success
",Success,
42,,9 October 2017,,,VAFB,Iridium NEXT,,,12:37,"9,600 kg",Polar,,"Success
",Success,
43,,11 October 2017,,,KSC,SES-11,,,22:53:00,"5,200 kg",GTO,,"Success
",Success,
44,,30 October 2017,,,KSC,Koreasat 5A,,,19:34,"3,500 kg",GTO,,"Success
",Success,
45,,15 December 2017,,,Cape Canaveral,SpaceX CRS-13,,,15:36,"2,205 kg",LEO,,"Success
",Success,
46,,23 December 2017,,,VAFB,Iridium NEXT,,,01:27,"9,600 kg",Polar,,Success,Controlled,
47,,8 January 2018,,,CCAFS,Zuma,,,01:00,C,LEO,,Success,Success,
48,,31 January 2018,,,CCAFS,GovSat-1,,,21:25,"4,230 kg",GTO,,Success,Controlled,
49,,22 February 2018,,,VAFB,Paz,,,14:17,"2,150 kg",SSO,,Success,No attempt,
50,,6 March 2018,,,CCAFS,Hispasat 30W-6,,,05:33,"6,092 kg",GTO,,Success,No attempt,
51,,30 March 2018,,,VAFB,Iridium NEXT,,,14:14,"9,600 kg",Polar,,Success,No attempt,
52,,2 April 2018,,,CCAFS,SpaceX CRS-14,,,20:30,"2,647 kg",LEO,,Success,No attempt,
53,,18 April 2018,,,CCAFS,Transiting Exoplanet Survey Satellite,,,22:51,362 kg,HEO,,Success,Success,
54,,11 May 2018,,,KSC,Bangabandhu-1,,,20:14,"3,600 kg",GTO,,Success,Success,
55,,22 May 2018,,,VAFB,Iridium NEXT,,,19:47,"6,460 kg",Polar,,Success,No attempt,
56,,4 June 2018,,,CCAFS,SES-12,,,04:45,"5,384 kg",GTO,,Success,No attempt,
57,,29 June 2018,,,CCAFS,SpaceX CRS-15,,,09:42,"2,697 kg",LEO,,Success,No attempt,
58,,22 July 2018,,,CCAFS,Telstar 19V,,,05:50,"7,075 kg",GTO,,Success,Success,
59,,25 July 2018,,,VAFB,Iridium NEXT,,,11:39,"9,600 kg",Polar,,Success,Success,
60,,7 August 2018,,,CCAFS,Merah Putih,,,05:18,"5,800 kg",GTO,,Success,Success,
61,,10 September 2018,,,CCAFS,Telstar 18V,,,04:45,"7,060 kg",GTO,,Success,Success,
62,,8 October 2018,,,VAFB,SAOCOM 1A,,,02:22,"3,000 kg",SSO,,Success,Success,
63,,15 November 2018,,,KSC,Es'hail 2,,,20:46,"5,300 kg",GTO,,Success,Success,
64,,3 December 2018,,,VAFB,SSO-A,,,18:34:05,"~4,000 kg",SSO,,Success,Success,
65,,5 December 2018,,,CCAFS,SpaceX CRS-16,,,18:16,"2,500 kg",LEO,,"Success
",Failure,
66,,23 December 2018,,,CCAFS,GPS III,,,13:51,"4,400 kg",MEO,,Success,No attempt,
67,,11 January 2019,,,VAFB,Iridium NEXT,,,15:31,"9,600 kg",Polar,,"Success
",Success,
68,,22 February 2019,,,CCAFS,Nusantara Satu,,,01:45,"4,850 kg",GTO,,"Success
",Success,
69,,2 March 2019,,,KSC,Crew Dragon Demo-1,,,07:49,"12,055 kg",LEO,,"Success
",Success,
70,,4 May 2019,,,CCAFS,SpaceX CRS-17,,,06:48,"2,495 kg",LEO,,"Success
",Success,
71,,24 May 2019,,,CCAFS,Starlink,,,02:30,"13,620 kg",LEO,,"Success
",Success,
72,,12 June 2019,,,VAFB,RADARSAT Constellation,,,14:17,"4,200 kg",SSO,,"Success
",Success,
73,,25 July 2019,,,CCAFS,SpaceX CRS-18,,,22:01,"2,268 kg",LEO,,"Success
",Success,
74,,6 August 2019,,,CCAFS,AMOS-17,,,23:23,"6,500 kg",GTO,,"Success
",No attempt,
75,,11 November 2019,,,CCAFS,Starlink,,,14:56,"15,600 kg",LEO,,"Success
",Success,
76,,5 December 2019,,,CCAFS,SpaceX CRS-19,,,17:29,"2,617 kg",LEO,,"Success
",Success,
77,,17 December 2019,,,CCAFS,JCSat-18,,,00:10,"6,956 kg",GTO,,"Success
",Success,
78,,7 January 2020,,,CCAFS,Starlink,,,02:19:21,"15,600 kg",LEO,,"Success
",Success,
79,,19 January 2020,,,KSC,Crew Dragon in-flight abort test,,,15:30,"12,050 kg",Sub-orbital,,"Success
","No attempt
",
80,,29 January 2020,,,CCAFS,Starlink,,,14:07,"15,600 kg",LEO,,"Success
",Success,
81,,17 February 2020,,,CCAFS,Starlink,,,15:05,"15,600 kg",LEO,,"Success
",Failure,
82,,7 March 2020,,,CCAFS,SpaceX CRS-20,,,04:50,"1,977 kg",LEO,,"Success
",Success,
83,,18 March 2020,,,KSC,Starlink,,,12:16,"15,600 kg",LEO,,"Success
",Failure,
84,,22 April 2020,,,KSC,Starlink,,,19:30,"15,600 kg",LEO,,"Success
",Success,
85,,30 May 2020,,,KSC,Crew Dragon Demo-2,,,19:22,"12,530 kg",LEO,,"Success
",Success,
86,,4 June 2020,,,CCAFS,Starlink,,,01:25,"15,600 kg",LEO,,"Success
",Success,
87,,13 June 2020,,,CCAFS,Starlink,,,09:21,"15,410 kg",LEO,,"Success
",Success,
88,,30 June 2020,,,CCAFS,GPS III,,,20:10:46,"4,311 kg",MEO,,"Success
",Success,
89,,20 July 2020,,,CCAFS,ANASIS-II,,,21:30,"5,000–6,000 kg",GTO,,"Success
",Success,
90,,7 August 2020,,,KSC,Starlink,,,05:12,"14,932 kg",LEO,,"Success
",Success,
91,,18 August 2020,,,CCAFS,Starlink,,,14:31,"~15,440 kg",LEO,,"Success
",Success,
92,,30 August 2020,,,CCAFS,SAOCOM 1B,,,23:18,"3,130 kg",SSO,,"Success
",Success,
93,,3 September 2020,,,KSC,Starlink,,,12:46:14,"15,600 kg",LEO,,"Success
",Success,
94,,6 October 2020,,,KSC,Starlink,,,11:29:34,"15,600 kg",LEO,,"Success
",Success,
95,,18 October 2020,,,KSC,Starlink,,,12:25:57,"15,600 kg",LEO,,"Success
",Success,
96,,24 October 2020,,,CCAFS,Starlink,,,15:31:34,"15,600 kg",LEO,,"Success
",Success,
97,,5 November 2020,,,CCAFS,GPS III,,,23:24:23,"4,311 kg",MEO,,"Success
",Success,
98,,16 November 2020,,,KSC,Crew-1,,,00:27,"~12,500 kg",LEO,,"Success
",Success,
99,,21 November 2020,,,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),,,17:17:08,"1,192 kg",LEO,,"Success
",Success,
100,,25 November 2020,,,CCAFS,Starlink,,,02:13,"15,600 kg",LEO,,"Success
",Success,
101,,6 December 2020,,,KSC,SpaceX CRS-21,,,16:17:08,"2,972 kg",LEO,,"Success
",Success,
102,,13 December 2020,,,CCSFS,SXM-7,,,17:30:00,"7,000 kg",GTO,,"Success
",Success,
103,,19 December 2020,,,KSC,NROL-108,,,14:00:00,C,LEO,,"Success
",Success,
104,,8 January 2021,,,CCSFS,Türksat 5A,,,02:15,"3,500 kg",GTO,,"Success
",Success,
105,,20 January 2021,,,KSC,Starlink,,,13:02,"15,600 kg",LEO,,"Success
",Success,
106,,24 January 2021,,,CCSFS,Transporter-1,,,15:00,"~5,000 kg",SSO,"Various
","Success
",Success,
107,,4 February 2021,,,CCSFS,Starlink,,,06:19,"15,600 kg",LEO,,"Success
",Success,
108,,16 February 2021,,,CCSFS,Starlink,,,03:59:37,"15,600 kg",LEO,,"Success
",Failure,
109,,4 March 2021,,,KSC,Starlink,,,08:24,"15,600 kg",LEO,,"Success
",Success,
110,,11 March 2021,,,CCSFS,Starlink,,,08:13:29,"15,600 kg",LEO,,"Success
",Success,
111,,14 March 2021,,,KSC,Starlink,,,10:01,"15,600 kg",LEO,,"Success
",Success,
112,,24 March 2021,,,CCSFS,Starlink,,,08:28,"15,600 kg",LEO,,"Success
",Success,
113,,7 April 2021,,,CCSFS,Starlink,,,16:34,"15,600 kg",LEO,,"Success
",Success,
114,,23 April 2021,,,KSC,Crew-2,,,9:49,"~13,000 kg",LEO,,"Success
",Success,
115,,29 April 2021,,,CCSFS,Starlink,,,03:44,"15,600 kg",LEO,,"Success
",Success,
116,,4 May 2021,,,KSC,Starlink,,,19:01,"15,600 kg",LEO,,"Success
",Success,
117,,9 May 2021,,,CCSFS,Starlink,,,06:42,"15,600 kg",LEO,,"Success
",Success,
118,,15 May 2021,,,KSC,Starlink,,,22:56,"~14,000 kg",LEO,,"Success
",Success,
119,,26 May 2021,,,CCSFS,Starlink,,,18:59,"15,600 kg",LEO,,"Success
",Success,
120,,3 June 2021,,,KSC,SpaceX CRS-22,,,17:29,"3,328 kg",LEO,,"Success
",Success,
121,,6 June 2021,,,CCSFS,SXM-8,,,04:26,"7,000 kg",GTO,,"Success
",Success,
